"name_1006","GO_IDs","F0","F4","Healthy"
"(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity","GO:0019171","P49327","P49327","P49327"
"2-oxoglutarate metabolic process","GO:0006103","P12109, O75874","P12109","P12109"
"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity","GO:0004316","P49327","P49327","P49327"
"3-oxoacyl-[acyl-carrier-protein] synthase activity","GO:0004315","P49327","P49327","P49327"
"A band","GO:0031672",NA,NA,"P12882"
"ADP binding","GO:0043531","P55072","P55072","P55072"
"ADP-D-ribose binding","GO:0072570","O75367","O75367",NA
"ADP-D-ribose modification-dependent protein binding","GO:0160002","O75367","O75367",NA
"ATP binding","GO:0005524","P63267, Q562R1, P00966, Q9NZN4, P33121, O00159, Q8IYT4, Q00266, P55072","P63267, Q562R1, Q9NZN4, Q8IYT4, O00159, P55072, P33121","Q9Y623, P13535, P63267, Q9UKX3, P00966, P12882, Q562R1, P06732, P68032, Q9NZN4, O14983, Q8IYT4, O00159, P55072"
"ATP hydrolysis activity","GO:0016887","Q8IYT4, P55072","Q8IYT4, P55072","Q9Y623, P13535, O14983, Q8IYT4, P55072"
"ATP metabolic process","GO:0046034","P55072","P55072","Q9Y623, P13535, P55072"
"ATPase binding","GO:0051117","Q03135","Q03135","Q03135"
"ATPase complex","GO:1904949","P55072","P55072","P55072"
"AnxA2-p11 complex","GO:1990665","P07355","P07355","P07355"
"B cell receptor signaling pathway","GO:0050853","P01871, P01876, P01859","P01871, P01876","P01871, P01876, P01859"
"BAT3 complex binding","GO:1904288","P55072","P55072","P55072"
"Barr body","GO:0001740","P84243, O75367","P84243, O75367","P84243"
"Bergmann glial cell differentiation","GO:0060020","P08670","P08670","P08670"
"CENP-A containing nucleosome","GO:0043505","P62805","P62805","P62805"
"D-glucose binding","GO:0005536",NA,NA,"Q16851"
"DNA binding","GO:0003677","P62805, P16104, Q5TEC6, P84243, P02768, P02788, O75367","P62805, P16104, Q5TEC6, P84243, P02768, P02788, O75367, Q8IUE6","P16104, P62805, Q5TEC6, P84243, P02768, P02788"
"DNA damage checkpoint signaling","GO:0000077","P16104","P16104","P16104"
"DNA damage response","GO:0006974","P16104, P55072","P16104, P55072","P16104, P55072"
"DNA recombination","GO:0006310","P16104","P16104","P16104"
"DNA repair","GO:0006281","P16104, P55072, O75367","P16104, O75367, P55072","P16104, P55072"
"ERAD pathway","GO:0036503","P55072","P55072","P55072"
"ERBB signaling pathway","GO:0038127","Q14764","Q14764",NA
"G protein-coupled receptor signaling pathway","GO:0007186","Q9HAV0, P02647","Q9HAV0","P02647"
"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","GO:0007187","P04083","P04083",NA
"GPI anchor binding","GO:0034235",NA,"P04216",NA
"GTP binding","GO:0005525","Q9BQE3, P68366, Q9NZN4, P07437, Q9BUF5, Q05639, P08133","Q9BQE3, P68366, Q9NZN4, P08133, P07437, Q9BUF5","Q9BQE3, Q9NZN4, P68366, P07437, Q9BUF5"
"GTPase activator activity","GO:0005096",NA,"P04216",NA
"GTPase activity","GO:0003924","P07437, Q9BUF5, Q05639","P07437, Q9BUF5","P07437, Q9BUF5"
"Golgi apparatus","GO:0005794","Q16853, P02768, P49327, Q03135, O95197","Q16853, P02768, P08246, P49327, Q03135, O95197, P16671","P02768, P08246, Q16853, P49327, Q03135"
"Golgi lumen","GO:0005796","P98160, P07585, P13611","P98160, P04004, P13611, P07585","P98160, P07585, P13611"
"Golgi to plasma membrane protein transport","GO:0043001","P05783",NA,"P05783"
"H zone","GO:0031673",NA,NA,"O14983"
"I band","GO:0031674","P02511","P02511","P02511, P68032, O14983"
"IgA binding","GO:0019862",NA,"P01591","P01591"
"IgA immunoglobulin complex","GO:0071745","P01876","P01876","P01876"
"IgG immunoglobulin complex","GO:0071735","P01876, P01859","P01876","P01876, P01859"
"IgM B cell receptor complex","GO:0071755","P01871","P01871","P01871"
"IgM immunoglobulin complex","GO:0071753","P01871","P01871","P01871"
"L-arginine biosynthetic process","GO:0006526","P00966",NA,"P00966"
"L-lactate dehydrogenase activity","GO:0004459","P07195, P00338",NA,"P07195, P00338"
"L-phenylalanine catabolic process","GO:0006559","P00439",NA,NA
"M band","GO:0031430","P02511","P02511","P02511"
"MAPK cascade","GO:0000165","Q03135","Q03135, P16671","Q03135"
"MHC class I protein binding","GO:0042288","P07437, P55072","P55072, P07437","P07437, P55072"
"NAD binding","GO:0051287","O75874, P07195",NA,"P07195"
"NAD metabolic process","GO:0019674","P07195",NA,"P07195"
"NADH metabolic process","GO:0006734","P55072","P55072","P55072"
"NADP binding","GO:0050661","P04040, O75874","P04040","P04040"
"NADP metabolic process","GO:0006739","O75874",NA,NA
"NADPH regeneration","GO:0006740","O75874",NA,NA
"NF-kappaB binding","GO:0051059","P60900","P60900","P60900"
"NuA4 histone acetyltransferase complex","GO:0035267","Q562R1","Q562R1","Q562R1"
"P-body","GO:0000932","P60900, P25789, P25787","P60900, P25789","P60900, P25789"
"P-type calcium transporter activity","GO:0005388",NA,NA,"O14983"
"PCSK9-AnxA2 complex","GO:1990667","P07355","P07355","P07355"
"RNA binding","GO:0003723","P62805, P49327, P07355, P08670, P00966, Q9NQC3, P60900, P62979, P07585, Q00610, P55072, P05783","P62805, P62979, P07355, Q9NQC3, P08670, P49327, P60900, P55072, P07585","P62805, P00966, P08670, P49327, Q9NQC3, P07355, P60900, P07585, P62979, P05783, P55072"
"RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO:0000978","P84243","P84243","P84243"
"RNA polymerase II core promoter sequence-specific DNA binding","GO:0000979","P84243","P84243","P84243"
"RNA polymerase II transcription regulator complex","GO:0090575","P07355","P07355","P07355"
"RNA polymerase II transcription regulatory region sequence-specific DNA binding","GO:0000977","O75367","O75367",NA
"S-adenosylmethionine biosynthetic process","GO:0006556","Q00266",NA,NA
"S100 protein binding","GO:0044548","P07355","P07355","P07355"
"Schmidt-Lanterman incisure","GO:0043220","P07355","P07355","P07355"
"Schwann cell development","GO:0014044","P55268",NA,"P55268"
"T cell costimulation","GO:0031295","Q03135","Q03135","Q03135"
"T cell receptor signaling pathway","GO:0050852",NA,"P04216",NA
"Toll-like receptor binding","GO:0035325",NA,"P16671",NA
"UDP-alpha-D-glucose metabolic process","GO:0006011",NA,NA,"Q16851"
"UDP-glucuronate biosynthetic process","GO:0006065",NA,NA,"Q16851"
"UTP-monosaccharide-1-phosphate uridylyltransferase activity","GO:0051748",NA,NA,"Q16851"
"UTP:glucose-1-phosphate uridylyltransferase activity","GO:0003983",NA,NA,"Q16851"
"VCP-NPL4-UFD1 AAA ATPase complex","GO:0034098","P55072","P55072","P55072"
"VCP-NSFL1C complex","GO:1990730","P55072","P55072","P55072"
"Weibel-Palade body","GO:0033093","P04275","P04275","P04275"
"XY body","GO:0001741","P16104","P16104","P16104"
"Z disc","GO:0030018","P02511","P02511, P02730","P02511"
"[acyl-carrier-protein] S-acetyltransferase activity","GO:0004313","P49327","P49327","P49327"
"[acyl-carrier-protein] S-malonyltransferase activity","GO:0004314","P49327","P49327","P49327"
"acetyl-CoA metabolic process","GO:0006084","P49327","P49327","P49327"
"acrosomal membrane","GO:0002080","Q03135","Q03135","Q03135"
"actin binding","GO:0003779","O00159","O00159","Q9Y623, P13535, Q9UKX3, P12882, P09493, O00159"
"actin cytoskeleton","GO:0015629","P63267, Q562R1, O00159","P63267, Q562R1, O00159","P63267, Q562R1, P09493, P68032, O00159"
"actin cytoskeleton organization","GO:0030036","P04083","P04083",NA
"actin filament","GO:0005884","Q562R1, O00159, P04083","Q562R1, O00159, P04083","Q562R1, P09493, P68032, O00159"
"actin filament binding","GO:0051015","O00159","O00159","Q9Y623, P13535, Q9UKX3, P12882, P09493, O00159"
"actin filament bundle","GO:0032432","P02511","P02511","P02511"
"actin filament organization","GO:0007015","O00159","O00159","P09493, P68032, O00159"
"actin filament-based movement","GO:0030048","O00159","O00159","Q9Y623, P68032, O00159"
"actin-myosin filament sliding","GO:0033275",NA,NA,"P68032"
"actomyosin structure organization","GO:0031032",NA,NA,"P68032"
"acute inflammatory response to antigenic stimulus","GO:0002438",NA,"P08246","P08246"
"acute-phase response","GO:0006953","P00738, P00966, P02751","P00738, P02751","P00738, P00966, P02751"
"acylglycerol homeostasis","GO:0055090","P02647",NA,"P02647"
"acyltransferase activity","GO:0016746","P49327","P49327","P49327"
"adaptive immune response","GO:0002250","P02675, P01871, P02671, P01876, P04083, P01859","P02675, P01871, P02671, P01876, P04083, P01619, P06312, P01591","P01871, P02675, P02671, P01876, P06312, P01859, P01619, P01591, P01624"
"adherens junction","GO:0005912","P07355, P04083, P05783","P07355, P04083","P07355, P05783"
"adiponectin-activated signaling pathway","GO:0033211","P33121","P33121",NA
"adipose tissue development","GO:0060612","P12109","P12109","P12109"
"adrenal gland development","GO:0030325","P02647",NA,"P02647"
"aerobic respiration","GO:0009060","P04040","P04040","P04040"
"aggresome assembly","GO:0070842","P55072","P55072","P55072"
"alcohol dehydrogenase (NAD+) activity","GO:0004022","P00326, P00325","P00326, P00325","P00326, P00325"
"all-trans-retinol dehydrogenase (NAD+) activity","GO:0004745","P00326, P00325","P00326, P00325","P00326, P00325"
"all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity","GO:0047376","Q05469",NA,NA
"alpha-beta T cell differentiation","GO:0046632","P04083","P04083",NA
"alphav-beta3 integrin-vitronectin complex","GO:0071062",NA,"P04004",NA
"amine metabolic process","GO:0009308","Q16853","Q16853","Q16853"
"amino acid binding","GO:0016597","P00966",NA,"P00966"
"amino acid biosynthetic process","GO:0008652","P00966, P00439",NA,"P00966"
"aminoacylase activity","GO:0004046","P04040","P04040","P04040"
"aminopeptidase activity","GO:0004177","Q9ULA0",NA,NA
"amyloid fibril formation","GO:1990000",NA,"P16671",NA
"amyloid-beta binding","GO:0001540","P02511, P98160, P02647","P02511, P98160, P16671","P02511, P98160, P02647"
"amyloid-beta clearance by cellular catabolic process","GO:0150094",NA,"P16671",NA
"amyloid-beta clearance by transcytosis","GO:0150093","Q00610",NA,NA
"amyloid-beta formation","GO:0034205","P02647",NA,"P02647"
"anatomical structure morphogenesis","GO:0009653","P12109, P07942, P05783","P12109, P07942","P12109, P07942, P05783"
"anchoring junction","GO:0070161","Q9NQC3","Q9NQC3","Q9NQC3"
"angiogenesis","GO:0001525","P07355, P98160, Q03135, P02751","P07355, Q03135, P98160, P02751, P04216","P07355, P98160, Q03135, P02751"
"angiotensin-activated signaling pathway","GO:0038166","Q03135","Q03135","Q03135"
"animal organ morphogenesis","GO:0009887","P07585","P07585","P07585"
"animal organ regeneration","GO:0031100","P98160","P98160","P98160"
"ankyrin binding","GO:0030506",NA,"P02730",NA
"ankyrin-1 complex","GO:0170014",NA,"P02730",NA
"antibacterial humoral response","GO:0019731","P01871, P02788, P01876, P01859","P01871, P02788, P01876, P01619, P01591","P01871, P02788, P01876, P01859, P01619, P01591"
"antifungal humoral response","GO:0019732","P02788","P02788","P02788"
"antigen binding","GO:0003823","P01871, P01876, P01859","P01871, P01876, P01619, P06312, P01591","P01871, P01876, P06312, P01859, P01619, P01591, P01624"
"antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844","P02788","P02788","P02788"
"antimicrobial humoral response","GO:0019730",NA,"P20160","P20160"
"antioxidant activity","GO:0016209","P02768, P00738, P04040","P02768, P00738, P04040","P02768, P00738, P04040"
"antiporter activity","GO:0015297",NA,"P02730",NA
"apical part of cell","GO:0045177",NA,"P16671",NA
"apolipoprotein A-I receptor binding","GO:0034191","P02647",NA,"P02647"
"apolipoprotein receptor binding","GO:0034190","P02647",NA,"P02647"
"apoptotic cell clearance","GO:0043277",NA,"P16671",NA
"apoptotic mitochondrial changes","GO:0008637",NA,NA,"O14983"
"apoptotic nuclear changes","GO:0030262","P12109","P12109","P12109"
"apoptotic process","GO:0006915","Q9NQC3, P12109, O95197","Q9NQC3, P12109, O95197, O43866","P12109, Q9NQC3, O43866"
"apoptotic process involved in morphogenesis","GO:0060561","P02511","P02511","P02511"
"apoptotic signaling pathway","GO:0097190","Q03135, P08133","Q03135, P08133","Q03135"
"arachidonate metabolic process","GO:0019369","P07099","P07099","P07099"
"arachidonate secretion","GO:0050482","P04083","P04083",NA
"arachidonate-CoA ligase activity","GO:0047676","P33121","P33121",NA
"argininosuccinate metabolic process","GO:0000053","P00966",NA,"P00966"
"argininosuccinate synthase activity","GO:0004055","P00966",NA,"P00966"
"aromatic amino acid metabolic process","GO:0009072","P00439",NA,NA
"aspartate metabolic process","GO:0006531","P00966",NA,"P00966"
