"name_1006","GO_IDs","Proteins","NumProteins_F0","ONTOLOGY"
"response to toxic substance","GO:0009636","ASSY - CO6A1 - CATA - HYEP",4,"BP"
"signal transduction","GO:0007165","ANXA5 - LG3BP - GBB4 - ANXA1",4,"BP"
"vesicle","GO:0031982","ANXA2 - TBA1C - RS27A - ANXA1",4,"CC"
"vesicle membrane","GO:0012506","ANXA2 - ANXA5 - ANXA1 - ANXA6",4,"CC"
"zinc ion binding","GO:0008270","ADH1G - ADH1B - RS27A - DNPEP",4,"MF"
"B cell receptor signaling pathway","GO:0050853","IGHM - IGHA1 - IGHG2",3,"BP"
"DNA repair","GO:0006281","H2AX - TERA - H2AY",3,"BP"
"GTPase activity","GO:0003924","TBB5 - TBB6 - EF1A2",3,"MF"
"Golgi lumen","GO:0005796","PGBM - PGS2 - CSPG2",3,"CC"
"P-body","GO:0000932","PSA6 - PSA4 - PSA2",3,"CC"
"actin cytoskeleton","GO:0015629","ACTH - ACTBL - MYO1C",3,"CC"
"actin filament","GO:0005884","ACTBL - MYO1C - ANXA1",3,"CC"
"acute-phase response","GO:0006953","HPT - ASSY - FINC",3,"BP"
"adherens junction","GO:0005912","ANXA2 - ANXA1 - K1C18",3,"CC"
"amyloid-beta binding","GO:0001540","CRYAB - PGBM - APOA1",3,"MF"
"anatomical structure morphogenesis","GO:0009653","CO6A1 - LAMB1 - K1C18",3,"BP"
"antigen binding","GO:0003823","IGHM - IGHA1 - IGHG2",3,"MF"
"antioxidant activity","GO:0016209","ALBU - HPT - CATA",3,"MF"
"apoptotic process","GO:0006915","RTN4 - CO6A1 - RTN3",3,"BP"
"axon","GO:0030424","ACTBL - CRYAB - VIME",3,"CC"
"basement membrane organization","GO:0071711","CO6A1 - CAV1 - NID1",3,"BP"
"brain development","GO:0007420","RTN4 - PGBM - RTN3",3,"BP"
"caveola","GO:0005901","EHD2 - CAV1 - LIPS",3,"CC"
"cell adhesion molecule binding","GO:0050839","FIBB - FIBG - FIBA",3,"MF"
"cell cortex","GO:0005938","FIBB - CAV1 - MYO1C",3,"CC"
"cell differentiation","GO:0030154","CO6A1 - PGBM - CAV1",3,"BP"
"cell division","GO:0051301","TBA1C - TBB5 - CLH1",3,"BP"
"cell population proliferation","GO:0008283","H33 - CAV1 - MVP",3,"BP"
"cell-cell adhesion","GO:0098609","ANXA2 - ANXA1 - K1C18",3,"BP"
"cellular response to type II interferon","GO:0071346","VIME - ASSY - MYO1C",3,"BP"
"chromatin","GO:0000785","H2AX - H33 - H2AY",3,"CC"
"collagen trimer","GO:0005581","CO6A2 - CO6A1 - CO6A3",3,"CC"
"collagen type VI trimer","GO:0005589","CO6A2 - CO6A1 - CO6A3",3,"CC"
"cytoplasmic vesicle membrane","GO:0030659","MYO1C - CLH1 - ANXA1",3,"CC"
"defense response","GO:0006952","IGHM - HPT - PERM",3,"BP"
"defense response to bacterium","GO:0042742","HPT - TRFL - PERM",3,"BP"
"embryo implantation","GO:0007566","H33 - PGBM - LAMB1",3,"BP"
"endodermal cell differentiation","GO:0035987","CO6A1 - LAMB1 - FINC",3,"BP"
"endosome membrane","GO:0010008","EHD2 - RS27A - ANXA1",3,"CC"
"extracellular matrix structural constituent conferring compression resistance","GO:0030021","PGBM - PGS2 - CSPG2",3,"MF"
"extracellular matrix structural constituent conferring tensile strength","GO:0030020","CO6A2 - CO6A1 - CO6A3",3,"MF"
"glutamatergic synapse","GO:0098978","ACTBL - RTN4 - TERA",3,"CC"
"haptoglobin-hemoglobin complex","GO:0031838","HBB - HBA - HPT",3,"CC"
"heparin binding","GO:0008201","TRFL - PERM - FINC",3,"MF"
"immune response","GO:0006955","IGHM - FRIH - IGHA1",3,"BP"
"immunoglobulin complex","GO:0019814","IGHM - IGHA1 - IGHG2",3,"CC"
"immunoglobulin receptor binding","GO:0034987","IGHM - IGHA1 - IGHG2",3,"MF"
"intermediate filament organization","GO:0045109","VIME - K2C1 - K1C10",3,"BP"
"iron ion transport","GO:0006826","FRIL - FRIH - TRFL",3,"BP"
"keratin filament","GO:0045095","K2C1 - K1C10 - K1C18",3,"CC"
"lipopolysaccharide binding","GO:0001530","TRFL - PSA1 - PSB4",3,"MF"
"lysosomal lumen","GO:0043202","PGBM - PGS2 - CSPG2",3,"CC"
"mitochondrial outer membrane","GO:0005741","ASSY - RS27A - ACSL1",3,"CC"
"mitotic spindle","GO:0072686","TBB5 - TBB6 - CLH1",3,"CC"
"muscle organ development","GO:0007517","CRYAB - CO6A1 - CO6A3",3,"BP"
"negative regulation of cell population proliferation","GO:0008285","FRIH - PGBM - CAV1",3,"BP"
"negative regulation of endothelial cell apoptotic process","GO:2000352","FIBB - FIBG - FIBA",3,"BP"
"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","GO:1902042","FIBB - FIBG - FIBA",3,"BP"
"neuron apoptotic process","GO:0051402","CO6A2 - CO6A1 - CO6A3",3,"BP"
"neuron projection development","GO:0031175","VIME - LAMB1 - LAMB2",3,"BP"
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","GO:0016616","IDHC - LDHB - LDHA",3,"MF"
"oxygen binding","GO:0019825","HBB - HBA - ALBU",3,"MF"
"phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0043491","CO6A2 - CO6A1 - CO6A3",3,"BP"
"phospholipase inhibitor activity","GO:0004859","ANXA2 - ANXA5 - ANXA1",3,"MF"
"phospholipid binding","GO:0005543","ANXA5 - ANXA1 - APOA1",3,"MF"
"plasminogen activation","GO:0031639","FIBB - FIBG - FIBA",3,"BP"
"positive regulation of canonical NF-kappaB signal transduction","GO:0043123","TRFL - PSA6 - CAV1",3,"BP"
"positive regulation of cell migration","GO:0030335","CAV1 - LAMB1 - MYO1C",3,"BP"
"positive regulation of heterotypic cell-cell adhesion","GO:0034116","FIBB - FIBG - FIBA",3,"BP"
"positive regulation of peptide hormone secretion","GO:0090277","FIBB - FIBG - FIBA",3,"BP"
"positive regulation of protein secretion","GO:0050714","FIBB - FIBG - FIBA",3,"BP"
"positive regulation of transcription by RNA polymerase II","GO:0045944","ANXA2 - PGS2 - MYO1C",3,"BP"
"protein polymerization","GO:0051258","FIBB - FIBG - FIBA",3,"BP"
"protein stabilization","GO:0050821","CRYAB - RTN4 - APOA1",3,"BP"
"protein-folding chaperone binding","GO:0051087","FIBB - ALBU - VWF",3,"MF"
"protein-macromolecule adaptor activity","GO:0030674","FIBA - EHD2 - CAV1",3,"MF"
"proteolysis","GO:0006508","HPT - TRFL - DNPEP",3,"BP"
"response to activity","GO:0014823","ANXA2 - CO6A1 - CATA",3,"BP"
"response to estradiol","GO:0032355","CRYAB - ASSY - CATA",3,"BP"
"response to lipopolysaccharide","GO:0032496","ASSY - CO6A1 - PERM",3,"BP"
"response to nutrient","GO:0007584","FAS - ASSY - ACSL1",3,"BP"
"response to wounding","GO:0009611","CO6A1 - VWF - FINC",3,"BP"
"serine-type endopeptidase inhibitor activity","GO:0004867","A2MG - ANXA2 - CO6A3",3,"MF"
"steroid metabolic process","GO:0008202","APOF - LIPS - APOA1",3,"BP"
"substrate adhesion-dependent cell spreading","GO:0034446","LAMC1 - LAMB1 - FINC",3,"BP"
"tissue development","GO:0009888","FAS - CO6A1 - LAMC1",3,"BP"
"triglyceride metabolic process","GO:0006641","CATA - CAV1 - APOF",3,"BP"
"vesicle-mediated transport","GO:0016192","LG3BP - CLH1 - RTN3",3,"BP"
"2-oxoglutarate metabolic process","GO:0006103","CO6A1 - IDHC",2,"BP"
"ATP hydrolysis activity","GO:0016887","KATL2 - TERA",2,"MF"
